FileName,RootTag,GameSpecific
mtrl_ic_cancel.xml,vector,False
mtrl_ic_error.xml,vector,False
mtrl_navigation_bar_item_background.xml,ripple,False
mtrl_popupmenu_background.xml,shape,False
mtrl_popupmenu_background_overlay.xml,layer-list,False
mtrl_tabs_default_indicator.xml,selector,False
navigation_empty_icon.xml,shape,True
notification_action_background.xml,ripple,False
notification_bg.xml,selector,False
notification_bg_low.xml,selector,False
notification_icon_background.xml,shape,False
notification_tile_bg.xml,bitmap,False
object_background_black_round.xml,shape,True
object_border_ascended.xml,shape,True
object_border_ascended_extra_opaque.xml,shape,True
object_border_black.xml,shape,True
object_border_brass.xml,shape,True
object_border_brass_rounded_right.xml,shape,True
object_border_brass_sharp.xml,shape,True
object_border_buy.xml,shape,True
object_border_dim_white.xml,shape,True
object_border_dim_white_extra_opaque.xml,shape,True
object_border_dim_white_square_no_border.xml,shape,True
object_border_gray.xml,shape,True
object_border_no_background.xml,shape,True
object_border_no_background_no_border.xml,shape,True
object_border_no_top.xml,layer-list,True
object_border_rounded_down.xml,shape,True
object_border_rounded_left.xml,shape,True
object_border_rounded_left_ascended.xml,shape,True
object_border_rounded_right.xml,shape,True
object_border_rounded_right_ascended.xml,shape,True
object_border_unavailable.xml,shape,True
object_border_unavailable_rounded_right.xml,shape,True
object_empty_adventurer.xml,shape,True
object_empty_space_8dp.xml,shape,True
object_empty_space_8dp_horizontal.xml,shape,True
offline_dialog_background.xml,shape,True
offline_dialog_default_icon_42dp.xml,vector,True
plus_white_half_alpha.xml,vector,True
rarity_border_common.xml,shape,True
rarity_border_epic.xml,shape,True
rarity_border_legendary.xml,shape,True
rarity_border_rare.xml,shape,True
rarity_border_uncommon.xml,shape,True
sign_minus.xml,vector,True
sign_plus.xml,vector,True
sign_plus_white.xml,vector,True
swap_equipment.xml,vector,True
test_custom_background.xml,shape,True
test_level_drawable.xml,shape,True
tooltip_frame_dark.xml,shape,False
tooltip_frame_light.xml,shape,False
vector_menu.xml,vector,True
