File,Line,Pattern,Match,Context
DialogConsumeFood.java,49,getDrawable,getDrawable(getResources(),"this.binding.foodSelected.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.selected.getIdImage(), getContext().getTheme()));"
DialogConsumeFood.java,56,getDrawable,getDrawable(getResources(),"layoutPetFeedingBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), pet.getIdImage(), getContext().getTheme()));"
DialogConsumeIntercession.java,53,getDrawable,getDrawable(getResources(),"layoutAdventurerChangeTraitBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getImageId(), getContext().get"
DialogConsumePotion.java,49,getDrawable,getDrawable(getResources(),"this.binding.potionSelected.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.selected.getIdImage(), getContext().getTheme()));"
DialogConsumePotion.java,58,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerPotionsBindingInflate.containerAdventurer.setBackgroundResource(R.drawable.object_border_ascended);
DialogConsumePotion.java,59,R_drawable_variable,R.drawable.object_border_rounded_left_ascended,layoutAdventurerPotionsBindingInflate.image.setBackgroundResource(R.drawable.object_border_rounded_left_ascended);
DialogConsumePotion.java,60,R_drawable_variable,R.drawable.object_border_rounded_right_ascended,layoutAdventurerPotionsBindingInflate.potionsContainer.setBackgroundResource(R.drawable.object_border_rounded_right_ascended);
DialogConsumePotion.java,64,getDrawable,getDrawable(getResources(),"layoutAdventurerPotionsBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getImageId(), getContext().getThem"
DialogConsumePotion.java,67,getDrawable,getDrawable(getResources(),"layoutAdventurerPotionsBindingInflate.doctrine.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getDoctrine().getIdImage(), get"
DialogConsumePotionOfClumsiness.java,54,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerChangeTraitBindingInflate.containerAdventurer.setBackgroundResource(R.drawable.object_border_ascended);
DialogConsumePotionOfClumsiness.java,55,R_drawable_variable,R.drawable.object_border_rounded_left_ascended,layoutAdventurerChangeTraitBindingInflate.image.setBackgroundResource(R.drawable.object_border_rounded_left_ascended);
DialogConsumePotionOfClumsiness.java,58,getDrawable,getDrawable(getResources(),"layoutAdventurerChangeTraitBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getImageId(), getContext().get"
DialogConsumePotionOfClumsiness.java,61,getDrawable,getDrawable(getResources(),"layoutAdventurerChangeTraitBindingInflate.doctrine.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getDoctrine().getIdImage(),"
